Names,Original Prices,Current Prices,Discounts,Ratings,Review Counts,Free Shipping,URLs
"SALE Large Gold Wrap ring, 14K Gold Fill wraparound, gold fill wrapped criss cross, woven ring, infinity, intertwined, overlapping, texture",68.00,57.80,(15% off),4.8318,"(16,345)",FREE shipping,https://www.etsy.com/listing/276829058/sale-large-gold-wrap-ring-14k-gold-fill?click_key=dca4d9fd16a4d0dbd3d135634a2762945b0b90c0%3A276829058&click_sum=ad12d12d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-26&pro=1&frs=1&sts=1
"Mother's Day Gift for her • Custom Morse Code Bracelet •  Birthday's Gift for Sister, Mother, Best Friend, Daughter, Wife •  'Ann' Bracelet",NA,47.00,NA,4.8947,"(8,110)",FREE shipping,https://www.etsy.com/listing/522149831/mothers-day-gift-for-her-custom-morse?click_key=3c0ab0ce8e9e3b1af0f2d1139ef33b8a483044ec%3A522149831&click_sum=c953a51d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-27&frs=1&etp=1&sts=1
Double Pendant Necklace | Layered Necklace | Pendant Necklace | Silver Pendant | Long Pendant Necklace | Gifts for her | Simple Necklace,32.39,24.29,(25% off),4.7976,"(2,307)",FREE shipping,https://www.etsy.com/listing/130551658/double-pendant-necklace-layered-necklace?click_key=cff36c9f4c3899e5a4de69a14792656682e7f913%3A130551658&click_sum=8f74b2cb&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-28&pro=1&frs=1
"EVE Necklace • Beaded Chain • Choker Necklace, Satellite Necklace, Dainty Beaded Necklace, Layering Beaded Chain, Delicate Wedding Necklace",43.00,34.40,(20% off),4.831,"(12,760)",NA,https://www.etsy.com/listing/246331662/eve-necklace-beaded-chain-choker?click_key=9da196ca24d5d53d29b630414eb6184ca7eec958%3A246331662&click_sum=df3d86c7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-29&pro=1
"Butterfly necklace, Opal butterfly necklace, Butterfly jewelry, Delicate jewelry, Opal jewelry",44.00,39.60,(10% off),4.8329,"(2,906)",FREE shipping,https://www.etsy.com/listing/399071377/butterfly-necklace-opal-butterfly?click_key=7a9ec4578edaf8749d8dbf01a1bec6e5fc864e0e%3A399071377&click_sum=a9e118e9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-30&pro=1&frs=1
Statement Ring • Handmade Boho Ring • Full Finger Ring • Stainless Steel Ring • Hammered Long Ring • Tube Ring • Wide Silver Cuff Ring,26.00,20.80,(20% off),4.9285,"(15,555)",NA,https://www.etsy.com/listing/167225072/statement-ring-handmade-boho-ring-full?click_key=a348191825d730ea8d86f91d235d6b53d2f0b5f8%3A167225072&click_sum=ecefae0b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-31&pro=1&sts=1
"Personalized Dainty Bracelet, Jewelry Best Friend Gift, 21st Birthday Gift For Her Youre My Person Bracelets 30th Birthday Gift For Her Cuff",15.99,13.59,(15% off),4.8464,"(7,076)",NA,https://www.etsy.com/listing/521412928/personalized-dainty-bracelet-jewelry?click_key=a7018cd1fdb6fd075afe46a2e201e1e1a479b0b5%3A521412928&click_sum=e04961ec&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-32&pro=1&sts=1
"Turquoise Bracelet,Turquoise Cuff Bracelet,Turquoise Gold Stone Bangle,Stone Cuff,Gemstone cuff,Turquoise Bangle Bracelet,Boho Bracelet,BOHO",NA,42.00,NA,4.744,"(1,678)",FREE shipping,https://www.etsy.com/listing/452918356/turquoise-braceletturquoise-cuff?click_key=808d22d0d111df620ffa1b42b9a07100db432a90%3A452918356&click_sum=f39befb3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-33&frs=1&etp=1
"Real leaf earrings, 18K gold leaf earrings, gold earrings dangle, gold dangle earrings, drop statement earrings, boho earrings, jewelry gift",NA,29.24,NA,4.9156,"(4,870)",NA,https://www.etsy.com/listing/234650609/real-leaf-earrings-18k-gold-leaf?click_key=8a457332e2e8adc6796417dd2c0d6b0c7304ae76%3A234650609&click_sum=7f38502f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-34&etp=1
Sterling Silver Ear Cuff Earrings Antler Deer Earpin Boho Ear Crawler Wrap Earring Bohemian 925 Jewelry Gift - FES006,22.90,17.17,(25% off),4.7472,"(15,199)",NA,https://www.etsy.com/listing/232459920/sterling-silver-ear-cuff-earrings-antler?click_key=e4cf74b4eac9bb33135a918e344332be43073c8e%3A232459920&click_sum=3da0e147&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-35&pro=1&sts=1
